"filename", "language", "XMake", "JSON", "Lua", "Markdown", "C++", "YAML", "comment", "blank", "total"
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\functions\shortcuts\Shortcuts.h", "C++", 0, 0, 0, 0, 66, 0, 4, 12, 82
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\functions\slime\Slime.cpp", "C++", 0, 0, 0, 0, 88, 0, 0, 9, 97
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\functions\slime\Slime.h", "C++", 0, 0, 0, 0, 28, 0, 0, 12, 40
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\functions\village\Village.cpp", "C++", 0, 0, 0, 0, 514, 0, 1, 40, 555
"f:\Project\levilamina\26.10.x\CoralFans\src\coral_fans\functions\village\Village.h", "C++", 0, 0, 0, 0, 75, 0, 6, 14, 95
"f:\Project\levilamina\26.10.x\CoralFans\src\lang\en_US.json", "JSON", 0, 391, 0, 0, 0, 0, 0, 0, 391
"f:\Project\levilamina\26.10.x\CoralFans\src\lang\zh_CN.json", "JSON", 0, 402, 0, 0, 0, 0, 0, 0, 402
"f:\Project\levilamina\26.10.x\CoralFans\tooth.json", "JSON", 0, 27, 0, 0, 0, 0, 0, 0, 27
"f:\Project\levilamina\26.10.x\CoralFans\xmake.lua", "XMake", 71, 0, 0, 0, 0, 0, 4, 11, 86
"Total", "-", 71, 832, 105, 168, 8800, 172, 350, 1021, 11519
